,행사명,장소,행사내용,행사 시작일자,행사 종료일자,행사 시작시각,행사 종료시각,위도,경도
125,[제12회금호주니어콘서트] 채은율 플루트 독주회,광주 유스퀘어문화관 금호아트홀,플루트 독주,2021-08-19,2021-08-19,19:30:00,20:40:00,35.16057564,126.8798731
126,[제12회금호주니어콘서트] 장준혁 플루트 독주회,광주 유스퀘어문화관 금호아트홀,플루트 독주,2021-08-25,2021-08-25,19:30:00,20:40:00,35.16057564,126.8798731
127,뮤지컬과 사랑에 빠진 오페라가수,광주 유스퀘어문화관 금호아트홀,제 71회 성악아카데미 정기연주회,2021-09-06,2021-09-06,19:30:00,20:30:00,35.16057564,126.8798731
128,문주리 신은선 듀오콘서트,광주 유스퀘어문화관 금호아트홀,Mezzosoprao 문주리와 Soprano 신은선의 듀오콘서트,2021-09-16,2021-09-16,19:30:00,20:30:00,35.16057564,126.8798731
129,하성운(HA SUNG WOON) Forest & in 광주,광주김대중컨벤션센터 다목적홀,하성운 콘서트,2021-09-18,2021-09-18,18:00:00,21:00:00,35.14677706,126.8404805
130,(초청) 임윤찬 피아노 리사이틀  초절기교 ,광주 유스퀘어문화관 금호아트홀,피아노 리사이틀  초절기교 ,2021-10-01,2021-10-01,19:30:00,21:00:00,35.16057564,126.8798731
131,내셔널솔리스텐 앙상블 협주곡의 밤,광주 유스퀘어문화관 금호아트홀,내셔널솔리스텐 앙상블 협주곡,2021-10-10,2021-10-10,19:00:00,19:54:00,35.16057564,126.8798731
132,제 2회 Ensemble P&S 정기연주회 <Flying Brass>,광주 유스퀘어문화관 금호아트홀,Ensemble P&S Brass 시리즈 I Brassten의 음악으로 떠나는 세계일주,2021-10-04,2021-10-04,19:30:00,20:56:00,35.16057564,126.8798731
133,박종화 피아노 리사이틀 - 광주,광주 유스퀘어문화관 금호아트홀,피아노 연주,2021-09-07,2021-09-07,19:30:00,21:30:00,35.16057564,126.8798731
134,김연 피아노 독주회,광주 유스퀘어문화관 금호아트홀,피아노 독주,2021-11-23,2021-11-23,19:30:00,21:00:00,35.16057564,126.8798731
